state_id,state_key,action,action_idx,eligibility_infeasible,infeasible_rate,clinical_reason,inferred_probability,threshold_used,inferred_infeasible,match
42,6|3|2|3|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
43,12|3|2|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
43,12|3|2|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
43,12|3|2|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
43,12|3|2|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
44,18|3|2|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
44,18|3|2|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
44,18|3|2|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
44,18|3|2|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
45,24|3|2|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
45,24|3|2|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
45,24|3|2|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
45,24|3|2|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
46,0|1|1|3|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.5,0.16,True,True
46,0|1|1|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
46,0|1|1|3|0|0|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
46,0|1|1|3|0|0|0|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
47,6|1|1|1|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.5,0.16,True,True
47,6|1|1|1|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.5,0.16,True,True
47,6|1|1|1|0|0|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
47,6|1|1|1|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
48,12|1|2|3|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
48,12|1|2|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.3333333333333333,0.16,True,True
48,12|1|2|3|0|0|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
48,12|1|2|3|0|0|0|0|0,Surgery,3,True,0.5,not first-line month,0.0,0.16,False,False
49,18|1|1|4|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.5,0.16,True,True
49,18|1|1|4|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.0,0.16,False,False
49,18|1|1|4|0|0|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
49,18|1|1|4|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
50,24|1|1|4|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.5,0.16,True,True
50,24|1|1|4|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.0,0.16,False,False
50,24|1|1|4|0|0|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
50,24|1|1|4|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
51,6|3|1|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
51,6|3|1|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
51,6|3|1|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
51,6|3|1|2|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
52,18|3|2|3|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
52,18|3|2|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.0,0.16,False,False
52,18|3|2|3|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.16666666666666666,0.16,True,True
52,18|3|2|3|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.16666666666666666,0.16,True,True
53,24|3|1|3|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
53,24|3|1|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.0,0.16,False,False
53,24|3|1|3|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.16666666666666666,0.16,True,True
53,24|3|1|3|0|0|0|0|0,Surgery,3,True,1.0,not first-line month,0.16666666666666666,0.16,True,True
54,0|2|2|2|0|1|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
54,0|2|2|2|0|1|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
54,0|2|2|2|0|1|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
54,0|2|2|2|0|1|0|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
55,6|2|2|3|0|1|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
55,6|2|2|3|0|1|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
55,6|2|2|3|0|1|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
55,6|2|2|3|0|1|0|0|0,Surgery,3,True,1.0,not first-line month,0.6666666666666666,0.16,True,True
56,12|2|2|3|0|1|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.6666666666666666,0.16,True,True
56,12|2|2|3|0|1|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
56,12|2|2|3|0|1|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
56,12|2|2|3|0|1|0|0|0,Surgery,3,True,1.0,not first-line month,0.6666666666666666,0.16,True,True
57,18|2|2|3|0|1|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.5,0.16,True,True
