state_id,action,eligibility_infeasible,inferred_infeasible,infeasible_rate,clinical_reason
211,Surgery,True,True,1.0,not first-line month
212,Targeted,True,True,1.0,EGFR/ALK not eligible
212,Immuno,True,True,1.0,PD-L1 < 1%
212,Chemo,True,False,1.0,ECOG/perf_status > 2
212,Surgery,True,True,1.0,not first-line month
213,Immuno,True,True,1.0,PD-L1 < 1%
213,Surgery,True,False,1.0,allowed
214,Immuno,True,True,1.0,PD-L1 < 1%
214,Surgery,True,True,1.0,not first-line month
215,Immuno,True,True,1.0,PD-L1 < 1%
215,Surgery,True,True,1.0,not first-line month
216,Immuno,True,True,1.0,PD-L1 < 1%
216,Surgery,True,True,1.0,not first-line month
217,Immuno,True,True,1.0,PD-L1 < 1%
217,Surgery,True,True,1.0,not first-line month
218,Targeted,True,True,1.0,EGFR/ALK not eligible
218,Immuno,True,True,1.0,PD-L1 < 1%
218,Surgery,True,True,1.0,not first-line month
219,Targeted,True,True,1.0,EGFR/ALK not eligible
219,Immuno,True,True,1.0,PD-L1 < 1%
219,Surgery,True,True,1.0,not first-line month
220,Targeted,True,True,1.0,EGFR/ALK not eligible
220,Immuno,True,True,1.0,PD-L1 < 1%
220,Surgery,True,True,1.0,not first-line month
221,Targeted,True,True,1.0,EGFR/ALK not eligible
221,Immuno,True,True,1.0,PD-L1 < 1%
221,Chemo,True,False,1.0,ECOG/perf_status > 2
221,Surgery,True,True,1.0,not first-line month
222,Targeted,True,True,1.0,EGFR/ALK not eligible
